date,title,amount
2026-01-05,Apple.Com/Bill.,40.14
2026-01-04,Goias Nordeste Represe,40.63
2026-01-03,Kelly Faria de Carvalh,9.20
2026-01-02,Super Pastel,22.42
2026-01-01,Uber Uber *Trip Help.U,17.87
2026-01-28,Amazon Marketplace Cc - Parcela 2/3,103.06
2026-01-27,Jim.Com* Teste - Parcela 4/6,254.62
2026-01-26,Pratiko Supermercado,92.76
2026-01-25,Kenia Salgados,28.46
2026-01-24,Rodeo Churrascaria,94.69
2026-01-23,EBW*Spotify - NuPay,36.68
2026-01-22,Drogashop,93.09
2026-01-10,Pagamento recebido,-500.00
