date,title,amount
2026-02-05,Apple.Com/Bill.,26.18
2026-02-04,Goias Nordeste Represe,26.50
2026-02-03,Kelly Faria de Carvalh,6.00
2026-02-02,Super Pastel,14.62
2026-02-01,Uber Uber *Trip Help.U,11.66
2026-02-28,Amazon Marketplace Cc - Parcela 2/3,67.22
2026-02-27,Jim.Com* Teste - Parcela 4/6,166.06
2026-02-26,Pratiko Supermercado,60.50
2026-02-25,Kenia Salgados,18.56
2026-02-24,Rodeo Churrascaria,61.76
2026-02-23,EBW*Spotify - NuPay,23.92
2026-02-22,Drogashop,60.71
2026-02-10,Pagamento recebido,-500.00
